3998,,ban
65531,marsam,request
149484,,ban
537775,,ban
1839166,,ban
4350451,,ban
7254833,,ban
7548295,,ban
7673602,,ban
7961110,,ban
11302521,,ban
11412567,pbsbot,bot
12958815,,ban
16732294,,ban
20419453,,ban
26647207,StridBot,bot
30756411,,ban
34083928,,ban
34454443,,ban
35755639,,ban
37933096,r-ryantm,bot
44329446,,ban
61781343,,ban
61844926,,ban
78925721,,ban
86169957,yu-re-ka,dup
105509097,Marigold-infrabot,bot
108555921,,ban
122415033,,ban
152606358,,ban
164272208,infinixbot,bot
170597457,,ban
170602754,,ban
182546216,,deletion
189302218,,ban
195635798,,ban
